Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
1,1784,1784/03,New York,New York City,"Montgomery, Ulster Co. NYC",41.523831,-74.217125,March: A Tory was shot when he attempted to settle in Whig territory. A Whig mob came to him. He ran and was shot.,"NY Gazatteer March 24, 1784",Political,Political; Tory,Political; Whig (Revolution),Lethal Violence,1,,,,
2,1784,1784/07,Pennsylvania,Wyoming Valley,"Wyoming Valley, Penn",41.283568,-75.837556,"July: Yankees and Pennamites skirmish. Two Yankees killed (""lost"") in the ambush by William Patterson's men (Pennamite with a quasi-legal commission)","Bradley.""Wyoming,"" p.190",Land,Pennamite; Squatter,Yankee; Squatter,Lethal Violence,2,,William Patterson,,
3,1784,1784/07,Pennsylvania,Wyoming Valley,"Wilkes-Barre, Penn. (Ft. Dickinson/Wyoming Valley)",41.242833,-75.881764,"July: John Franklin and Yankees besiege Pennamites under Alexander Patterson. In various battles, two Yankees killed and Franklin wounded. Cease fire arranged on 31st.","Bradley. ""Wyoming,"" p.190-193",Land,Yankee; Squatter,Pennamite; Squatter,Lethal Violence,2,1,John Franklin,Alexander Patterson,
4,1784,1784/09,Pennsylvania,Wyoming Valley,"Wilkes-Barre, Penn. (Ft. Dickinson/Wyoming Valley)",41.242833,-75.881764,"September: In August a supposedly neutral militia force convinced both Pennamites and Yankees to lay down arms, but then arrested the Yankees. By September, most of the Yankees were free and determined to use violence. Yankees again attack Ft. Dickinson. After two hour battle, two Yankees wounded, two Pennamites killed, two Pennamites wounded.","Bradley. ""Wyoming,"" p.199",Land,Yankee; Squatter,Pennamite; Militia; Squatter,Lethal Violence; Seized Person(s),2,4,,,
5,1784,1784/10,Pennsylvania,Wyoming Valley,"Wyoming Valley, Penn",41.283568,-75.837556,October: John Armstrong led a partisan militia force in an attack on the Connecticut men who defended themselves in a cluster of log houses. Two attackers slightly wounded; one defender mortally wounded. Attackers had to retreat.,"Bradley. ""Wyoming,"" p.201-203",Land,Unknown,Unknown,Lethal Violence,1,2,John Armstrong,,
6,1784,1784/12,South Carolina,96 District,"96 District, SC",34.175277,-82.024121,"December: A returning Tory was arrested and tried before a judge. Acquitted, the ex-Tory was lynched, with all due respect to the laws, after the judge moved on in his circuit. The judge himself was not particularly disturbed by the affair.","N.Y. Journal, July 21, 1785",Political; Law; Vigilante,Political; Vigilante,Tory; Political; Legal,Lethal Violence,1,,,,
1,1787,1787/01,Massachusetts,Springfield,Springfield,42.100341,-72.590565,January: About 1500 Shaysites approach arsenal and battle begins. Artillery made the difference; Shaysites lost four dead and 20 wounded.,No source provided,Debt; Tax; Law,Debtor; Shaysite; Anti-Tax,Military,Lethal Violence,4,20,,,
2,1787,1787/01,Massachusetts,South Hadley,"South Hadley, Ma",42.258859,-72.57571,January: Shaysites captured four retailers. Two Shaysites lost their lives in the process.,"Szatmary, p.103",Debt; Tax,Debtor; Shaysite; Anti-Tax,Merchant,Seized Person(s),2,,,,
3,1787,1787/01,Massachusetts,Berkshire Co.,"Berkshire Co., Ma",42.401624,-73.229329,"January: Theodore Sedgewick confronted about 100 local Shaysites on their way to Springfield, fought with them. The result was two Shaysites killed.","Szatmary, p.103",Debt; Tax,Debtor; Shaysite; Anti-Tax,Unknown,Lethal Violence,2,,,Theodore Sedgewick,
4,1787,1787/02,Massachusetts,Stockbridge,Stockbridge etc.,42.289636,-73.32143,"February: About 120 farmers from Mass left New Lebanon, NY on the 20th for Western Mass. On the 27th they reached Stockbridge, and harassed local storekeepers. They ransacked 17 houses and took 20 prisoners. They then went to Barrington and captured 19 men there. Outside of Sheffield, however, a party of government troops caught up with them. In the ensuing battle the Shaysites lost 30 men killed or wounded, government three dead, 12 wounded.","Szatmary, p.109-111",Debt; Tax,Debtor; Farmer; Anti-Tax; Shaysite,Merchant; Military,Seized Person(s); Lethal Violence; Property Destroyed,33,12,,,
