Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
1,1829,1829/05,Pennsylvania,Nanticoke,"Nanticoke, Pa",41.203918,-76.00345,"May: Near the town ""foreigners"" employed on the North Branch canal rioted. One man was killed, several were beaten. Some of the ringleaders escaped, others were captured.","Niles'Weekly Register, June 20, 1829",Ethnic/National; Labor,Worker; Canal Worker,Unknown,Lethal Violence; Non-Lethal Violence,1,,,,
2,1829,1829/08,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"August: Several disturbances by laborers at B+O railroad. On Friday Aug. 14 one man was killed near city, several wounded. On Sunday rioters ransacked the dwelling of Thomas Elliott, one of the contractors.","Scharf.Chronicles, p.441",Labor,Worker; Railroad Worker,Contractor,Lethal Violence; Non-Lethal Violence; Property Destroyed,1,,,Thomas Elliott,
3,1829,1829/08,Ohio,Cincinnatti,Cincinnatti,39.105032,-84.517971,"August: In an attempt to enforce an ordinance driving all black people out of town, a mob attacked the dwelling houses of black people, breaking windows and on Thursday and Friday night. On Saturday night a group of black residents armed themselves. When the white crowd attacked, a gun was fired, killing Ely Herricks, a young man. Ten black and seven white people were arrested that night and the mayor, on Sunday morning, issued a proclamation calling all good citizens to assist the constituted authorities in preserving the public peace.","NYCommon Advertiser, August 26, 1829",Racial,White,Black,Lethal Violence; Property Destroyed; Threat,1,,,Ely Herricks,
4,1829,1829/09,Pennsylvania,Marrieta,"Marrieta, Penn",40.056648,-76.559046,"September: Riots at the Banbridge Races between canal workers and the visitors to the races. A black person was killed, another man had his leg so battered by a musket shot that it had to be amputated. Others were wounded. A court case is to follow. Those workmen involved are to be dismissed from further employment on the line.","NYEP, September 15, 1829",Unknown,Worker; Canal Worker,Black,Lethal Violence; Non-Lethal Violence,1,,,,
1,1830,1830/09,Pennsylvania,Dunnstown,"Dunnstown, Pa",41.14301,-77.423321,September: Canal workers riot in dispute with local Germans over apple picking. One killed.,"Way.Common Labour, p.288",Ethnic/National,Worker; Canal Worker,German,Lethal Violence,1,,,,
1,1831,1831/05,Massachusetts,Lowell,"Lowell, MA",42.650502,-71.318531,"May: Riot between Irish and Americans. Irish went from shop to shop collecting wood and metal chips. Occassionally, words were exchanged between the native American laborers and Irish. When an American decided to chastise an Irishman on the 17th and probably beat him, the conflict escalated into a general melee on Tuesday night. On Wednesday, the Americans attacked the Irish huts. Several Irishmen were injured. One infant accidently killed. Magistrates interfered but refused to prosecute because no serious damage done.","NYEP, May 24, 1831",Ethnic/National; Religious; Labor,Worker; American; Laborer,Worker; Irish; Catholic; Youth,Lethal Violence,1,,,,
2,1831,1831/06,Conneticut,Walingford,"Walingford, ct",41.454559,-72.817548,"June: a group of men enter a man named Wheeler's house with the purpose of ""mobbing"" him. He and his family were in bed, but he pulled a knife and stabbed three of the men. One died instantly, another a little later. The rest ran.","Spectator, June 10, 1831",Unknown,Unknown,Unknown,Lethal Violence,2,1,,Wheeler,
3,1831,1831/09,Rhode Island,Providence,"Providence, RI",41.8282,-71.416533,"September: Olney street riot - Began as a fight in a dance hall in which one black person beat 5 white people. Spilled out into street as black and white sailors fought one another with the African Americans driving the white people out of the neighborhood on the 21st. Next night white crowd returned, destroying two houses. A black person fired on the white people, killing one. The rioting continued. On the 23rd, 25 militiamen were routed by rioters. On the 24th, two militia companies fired on rioters, killing 4.","Coftrol.Afro-Yankees, p.56-57",Racial,White; Black; Sailor,White; Black; Sailor; Military; Militia,Lethal Violence; Property Destroyed,5,,,,
1,1833,1833/08,Pennsylvania,Pennsylvania,Pennsylvania,40.932085,-77.601813,"August: German canal worker, Charles Hickenbottom, murdered by about 20 other canal workers. One worker had been dismissed, 20 of his fellow workers quit in sympathy. They then went down to the canal about one mile and attacked Hickenbottom. 11 arrested and charged with murder. Five charged with A+B and riot.","NYEP, August 6, 1833",Labor; Ethnic/National,Worker; Canal Worker,Worker; Canal Worker; German,Lethal Violence,1,,,,
2,1833,1833/08,Pennsylvania,Dunnsburg,"Dunnsburg, PA",41.247361,-76.979092,"August: Riot between laborers working on the Great Island Dam and a number of boatmen. On Saturday morning a dispute over a boatload of stone, the laborers wanted it placed on the dam, led to a riot which continued until Sunday evening. One Irish laborer was killed. Several people were wounded. The militia was called out Sunday to quell the disturbance.","Common Advertiser, August 30, 1833",Ethnic/National; Religious; Labor,Worker; Irish; Catholic; Boatman,Worker; Irish; Catholic; Boatman,Lethal Violence,1,,,,
